ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,SalesAmount
381,20120101,20120113,20120108,16942,1000.4375
375,20120101,20120113,20120108,15114,2181.5625
369,20120101,20120113,20120108,15116,2443.35
337,20120101,20120113,20120108,20576,782.99
370,20120101,20120113,20120108,13059,2443.35
370,20120101,20120113,20120108,13085,2443.35
352,20120101,20120113,20120108,20186,2071.4196
337,20120101,20120113,20120108,15199,782.99
377,20120101,20120113,20120108,21200,2181.5625
387,20120102,20120114,20120109,19172,1000.4375
356,20120102,20120114,20120109,11484,2071.4196
369,20120102,20120114,20120109,13592,2443.35
373,20120102,20120114,20120109,13779,2181.5625
371,20120102,20120114,20120109,24778,2181.5625
368,20120102,20120114,20120109,13093,2443.35
375,20120102,20120114,20120109,24976,2181.5625
375,20120102,20120114,20120109,25046,2181.5625
368,20120102,20120114,20120109,25048,2443.35
360,20120102,20120114,20120109,12570,2049.0982
362,20120103,20120115,20120110,11604,2049.0982
371,20120103,20120115,20120110,13667,2181.5625
370,20120103,20120115,20120110,16046,2443.35
385,20120103,20120115,20120110,17095,1000.4375
368,20120103,20120115,20120110,12918,2443.35
368,20120103,20120115,20120110,28663,2443.35
369,20120103,20120115,20120110,21191,2443.35
373,20120103,20120115,20120110,20999,2181.5625
370,20120103,20120115,20120110,21002,2443.35
358,20120103,20120115,20120110,12354,2049.0982
321,20120103,20120115,20120110,26019,782.99
379,20120104,20120116,20120111,15100,2181.5625
371,20120104,20120116,20120111,15101,2181.5625
385,20120104,20120116,20120111,13992,1000.4375
375,20120104,20120116,20120111,24781,2181.5625
375,20120104,20120116,20120111,13060,2181.5625
371,20120104,20120116,20120111,13226,2181.5625
360,20120104,20120116,20120111,12341,2049.0982
354,20120104,20120116,20120111,12346,2071.4196
362,20120104,20120116,20120111,12576,2049.0982
373,20120105,20120117,20120112,15699,2181.5625
379,20120105,20120117,20120112,12980,2181.5625
370,20120105,20120117,20120112,28766,2443.35
358,20120105,20120117,20120112,20206,2049.0982
373,20120105,20120117,20120112,21183,2181.5625
370,20120105,20120117,20120112,21199,2443.35
369,20120106,20120118,20120113,13056,2443.35
368,20120106,20120118,20120113,13057,2443.35
360,20120106,20120118,20120113,26127,2049.0982
360,20120106,20120118,20120113,26252,2049.0982
354,20120106,20120118,20120113,12350,2071.4196
377,20120107,20120119,20120114,16054,2181.5625
377,20120107,20120119,20120114,12934,2181.5625
343,20120107,20120119,20120114,19931,782.99
379,20120107,20120119,20120114,21215,2181.5625
321,20120107,20120119,20120114,25958,782.99
343,20120107,20120119,20120114,26023,782.99
383,20120107,20120119,20120114,13993,1000.4375
354,20120108,20120120,20120115,26174,2071.4196
387,20120108,20120120,20120115,18130,1000.4375
373,20120108,20120120,20120115,16033,2181.5625
387,20120108,20120120,20120115,13986,1000.4375
325,20120108,20120120,20120115,19924,782.99
368,20120108,20120120,20120115,13063,2443.35
375,20120108,20120120,20120115,13202,2181.5625
360,20120108,20120120,20120115,26238,2049.0982
333,20120108,20120120,20120115,15191,782.99
369,20120108,20120120,20120115,21216,2443.35
362,20120108,20120120,20120115,12573,2049.0982
339,20120108,20120120,20120115,26020,782.99
377,20120109,20120121,20120116,15702,2181.5625
370,20120109,20120121,20120116,15357,2443.35
377,20120109,20120121,20120116,13068,2181.5625
375,20120109,20120121,20120116,13161,2181.5625
371,20120109,20120121,20120116,13173,2181.5625
375,20120109,20120121,20120116,13225,2181.5625
352,20120109,20120121,20120116,26249,2071.4196
360,20120109,20120121,20120116,12356,2049.0982
356,20120110,20120122,20120117,11568,2071.4196
352,20120110,20120122,20120117,11610,2071.4196
377,20120110,20120122,20120117,15929,2181.5625
379,20120110,20120122,20120117,12942,2181.5625
379,20120110,20120122,20120117,12949,2181.5625
371,20120110,20120122,20120117,12975,2181.5625
337,20120110,20120122,20120117,19069,782.99
375,20120110,20120122,20120117,13178,2181.5625
373,20120110,20120122,20120117,13190,2181.5625
354,20120110,20120122,20120117,26201,2071.4196
333,20120110,20120122,20120117,15195,782.99
358,20120110,20120122,20120117,12342,2049.0982
358,20120111,20120123,20120118,28506,2049.0982
379,20120111,20120123,20120118,12930,2181.5625
369,20120111,20120123,20120118,13016,2443.35
373,20120111,20120123,20120118,13083,2181.5625
375,20120111,20120123,20120118,13214,2181.5625
373,20120111,20120123,20120118,24977,2181.5625
362,20120111,20120123,20120118,26234,2049.0982
360,20120111,20120123,20120118,26247,2049.0982
371,20120111,20120123,20120118,21197,2181.5625
368,20120111,20120123,20120118,21201,2443.35
371,20120112,20120124,20120119,13662,2181.5625
370,20120112,20120124,20120119,13019,2443.35
368,20120112,20120124,20120119,25094,2443.35
337,20120112,20120124,20120119,15188,782.99
379,20120113,20120125,20120120,13595,2181.5625
323,20120113,20120125,20120120,19052,782.99
373,20120113,20120125,20120120,13055,2181.5625
370,20120113,20120125,20120120,21195,2443.35
354,20120113,20120125,20120120,12339,2071.4196
360,20120113,20120125,20120120,12347,2049.0982
371,20120114,20120126,20120121,13766,2181.5625
370,20120114,20120126,20120121,15622,2443.35
369,20120114,20120126,20120121,12941,2443.35
371,20120114,20120126,20120121,13069,2181.5625
379,20120114,20120126,20120121,13152,2181.5625
371,20120114,20120126,20120121,13165,2181.5625
375,20120114,20120126,20120121,25093,2181.5625
370,20120114,20120126,20120121,13230,2443.35
356,20120114,20120126,20120121,26121,2071.4196
369,20120114,20120126,20120121,21211,2443.35
368,20120114,20120126,20120121,21001,2443.35
352,20120115,20120127,20120122,28510,2071.4196
377,20120115,20120127,20120122,24824,2181.5625
325,20120115,20120127,20120122,15155,782.99
323,20120115,20120127,20120122,15193,782.99
385,20120115,20120127,20120122,24608,1000.4375
354,20120115,20120127,20120122,12574,2071.4196
360,20120115,20120127,20120122,12575,2049.0982
373,20120116,20120128,20120123,13799,2181.5625
385,20120116,20120128,20120123,13990,1000.4375
369,20120116,20120128,20120123,24786,2443.35
337,20120116,20120128,20120123,19910,782.99
369,20120116,20120128,20120123,13066,2443.35
352,20120116,20120128,20120123,20188,2071.4196
354,20120116,20120128,20120123,12360,2071.4196
379,20120116,20120128,20120123,12923,2181.5625
371,20120117,20120129,20120124,13768,2181.5625
377,20120117,20120129,20120124,13769,2181.5625
381,20120117,20120129,20120124,14003,1000.4375
375,20120117,20120129,20120124,12922,2181.5625
375,20120117,20120129,20120124,24817,2181.5625
369,20120117,20120129,20120124,13058,2443.35
371,20120117,20120129,20120124,13174,2181.5625
321,20120117,20120129,20120124,15166,782.99
375,20120117,20120129,20120124,21168,2181.5625
358,20120117,20120129,20120124,12343,2049.0982
358,20120118,20120130,20120125,11603,2049.0982
373,20120118,20120130,20120125,13575,2181.5625
371,20120118,20120130,20120125,13793,2181.5625
371,20120118,20120130,20120125,16201,2181.5625
370,20120118,20120130,20120125,24960,2443.35
370,20120118,20120130,20120125,13221,2443.35
360,20120118,20120130,20120125,20209,2049.0982
333,20120118,20120130,20120125,15194,782.99
368,20120118,20120130,20120125,21192,2443.35
375,20120118,20120130,20120125,20997,2181.5625
379,20120119,20120131,20120126,15117,2181.5625
370,20120119,20120131,20120126,12935,2443.35
371,20120119,20120131,20120126,13064,2181.5625
370,20120119,20120131,20120126,13067,2443.35
370,20120119,20120131,20120126,13205,2443.35
371,20120119,20120131,20120126,21180,2181.5625
377,20120119,20120131,20120126,21214,2181.5625
362,20120120,20120201,20120127,11550,2049.0982
362,20120120,20120201,20120127,11575,2049.0982
373,20120120,20120201,20120127,16045,2181.5625
375,20120120,20120201,20120127,15456,2181.5625
369,20120120,20120201,20120127,12981,2443.35
377,20120120,20120201,20120127,13029,2181.5625
369,20120120,20120201,20120127,13189,2443.35
379,20120121,20120202,20120128,13577,2181.5625
368,20120121,20120202,20120128,13605,2443.35
370,20120121,20120202,20120128,13800,2443.35
385,20120121,20120202,20120128,19186,1000.4375
377,20120121,20120202,20120128,21167,2181.5625
381,20120121,20120202,20120128,24606,1000.4375
362,20120122,20120203,20120129,11470,2049.0982
375,20120122,20120203,20120129,15084,2181.5625
370,20120122,20120203,20120129,12926,2443.35
369,20120122,20120203,20120129,25061,2443.35
379,20120122,20120203,20120129,13224,2181.5625
335,20120122,20120203,20120129,15167,782.99
354,20120122,20120203,20120129,12572,2071.4196
343,20120122,20120203,20120129,25960,782.99
352,20120122,20120203,20120129,26241,2071.4196
368,20120123,20120204,20120130,13565,2443.35
373,20120123,20120204,20120130,15933,2181.5625
377,20120123,20120204,20120130,28669,2181.5625
362,20120123,20120204,20120130,12340,2049.0982
325,20120123,20120204,20120130,26021,782.99
383,20120124,20120205,20120131,19173,1000.4375
368,20120124,20120205,20120131,12921,2443.35
325,20120124,20120205,20120131,20592,782.99
370,20120124,20120205,20120131,13086,2443.35
369,20120124,20120205,20120131,28659,2443.35
356,20120124,20120205,20120131,26120,2071.4196
354,20120124,20120205,20120131,26183,2071.4196
333,20120124,20120205,20120131,15189,782.99
368,20120124,20120205,20120131,21179,2443.35
369,20120124,20120205,20120131,21205,2443.35
381,20120125,20120206,20120201,13999,1000.4375
375,20120125,20120206,20120201,21194,2181.5625
375,20120125,20120206,20120201,21203,2181.5625
375,20120125,20120206,20120201,21000,2181.5625
354,20120125,20120206,20120201,12353,2071.4196
387,20120126,20120207,20120202,17080,1000.4375
375,20120126,20120207,20120202,16053,2181.5625
368,20120126,20120207,20120202,12950,2443.35
368,20120126,20120207,20120202,13087,2443.35
370,20120126,20120207,20120202,21189,2443.35
379,20120126,20120207,20120202,20998,2181.5625
331,20120127,20120208,20120203,20710,782.99
377,20120127,20120208,20120203,24832,2181.5625
377,20120127,20120208,20120203,13177,2181.5625
375,20120127,20120208,20120203,13212,2181.5625
356,20120127,20120208,20120203,26245,2071.4196
362,20120127,20120208,20120203,26276,2049.0982
329,20120127,20120208,20120203,15196,782.99
371,20120127,20120208,20120203,21202,2181.5625
343,20120127,20120208,20120203,26022,782.99
362,20120127,20120208,20120203,11481,2049.0982
362,20120128,20120209,20120204,11609,2049.0982
371,20120128,20120209,20120204,15454,2181.5625
368,20120128,20120209,20120204,13088,2443.35
369,20120128,20120209,20120204,13176,2443.35
375,20120128,20120209,20120204,13203,2181.5625
373,20120128,20120209,20120204,21165,2181.5625
377,20120128,20120209,20120204,21169,2181.5625
362,20120128,20120209,20120204,12348,2049.0982
356,20120128,20120209,20120204,12358,2071.4196
370,20120129,20120210,20120205,13246,2443.35
383,20120129,20120210,20120205,14017,1000.4375
387,20120129,20120210,20120205,14025,1000.4375
369,20120129,20120210,20120205,15667,2443.35
341,20120129,20120210,20120205,20062,782.99
369,20120129,20120210,20120205,25287,2443.35
362,20120129,20120210,20120205,26293,2049.0982
360,20120129,20120210,20120205,12685,2049.0982
362,20120129,20120210,20120205,12588,2049.0982
369,20120130,20120211,20120206,16329,2443.35
375,20120130,20120211,20120206,13248,2181.5625
375,20120130,20120211,20120206,13359,2181.5625
360,20120130,20120211,20120206,26302,2049.0982
341,20120130,20120211,20120206,15203,782.99
323,20120130,20120211,20120206,15254,782.99
329,20120130,20120211,20120206,15288,782.99
370,20120130,20120211,20120206,21561,2443.35
379,20120131,20120212,20120207,16311,2181.5625
373,20120131,20120212,20120207,13378,2181.5625
377,20120131,20120212,20120207,13383,2181.5625
369,20120131,20120212,20120207,13274,2443.35
341,20120131,20120212,20120207,15284,782.99
377,20120131,20120212,20120207,21394,2181.5625
354,20120201,20120213,20120208,28532,2071.4196
369,20120201,20120213,20120208,28802,2443.35
369,20120201,20120213,20120208,13380,2443.35
377,20120201,20120213,20120208,15664,2181.5625
370,20120201,20120213,20120208,25095,2443.35
354,20120201,20120213,20120208,26283,2071.4196
370,20120201,20120213,20120208,21257,2443.35
360,20120201,20120213,20120208,12667,2049.0982
325,20120201,20120213,20120208,26134,782.99
360,20120202,20120214,20120209,11612,2049.0982
371,20120202,20120214,20120209,16260,2181.5625
370,20120202,20120214,20120209,13424,2443.35
368,20120202,20120214,20120209,13369,2443.35
379,20120202,20120214,20120209,13279,2181.5625
371,20120202,20120214,20120209,13319,2181.5625
369,20120202,20120214,20120209,25361,2443.35
352,20120203,20120215,20120210,11616,2071.4196
369,20120203,20120215,20120210,13839,2443.35
375,20120203,20120215,20120210,28819,2181.5625
370,20120203,20120215,20120210,28850,2443.35
369,20120203,20120215,20120210,25100,2443.35
356,20120203,20120215,20120210,20318,2071.4196
343,20120203,20120215,20120210,15255,782.99
373,20120203,20120215,20120210,21387,2181.5625
370,20120203,20120215,20120210,21393,2443.35
387,20120203,20120215,20120210,24611,1000.4375
